Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
M3;Otu000221;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;1.746996401;0.342566646;126;5.099727073;1.22E-06;5.85E-05;4.232810018;Increased
M6;Otu000221;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;1.367567471;0.350172157;126;3.905414648;0.000152509;0.002876736;2.54109994;Increased
M12;Otu000225;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;unclassified;0.995733791;0.359535621;126;2.769499689;0.006463228;0.042880176;1.367743436;Increased
Before;Otu000228;Proteobacteria;Alphaproteobacteria;unclassified;unclassified;unclassified;1.594637302;0.357529081;126;4.460161111;1.79E-05;0.000530481;3.275330567;Increased
M3;Otu000228;Proteobacteria;Alphaproteobacteria;unclassified;unclassified;unclassified;1.345449016;0.375873627;126;3.579524928;0.000489661;0.006876694;2.162620303;Increased
M12;Otu000236;unclassified;unclassified;unclassified;unclassified;unclassified;2.093322871;0.359134059;126;5.828806318;4.40E-08;4.23E-06;5.37321404;Increased
M3;Otu000236;unclassified;unclassified;unclassified;unclassified;unclassified;1.476574126;0.333483211;126;4.42773152;2.04E-05;0.000595153;3.225371468;Increased
M6;Otu000236;unclassified;unclassified;unclassified;unclassified;unclassified;1.530843104;0.338823224;126;4.5181174;1.42E-05;0.000439941;3.356605537;Increased
Before;Otu000242;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.027139611;0.344314886;126;2.983140297;0.003426763;0.028296529;1.548266829;Increased
Before;Otu000245;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;2.099159259;0.495491236;126;4.236521469;4.35E-05;0.001100298;2.958489524;Increased
M3;Otu000245;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;1.977504744;0.508650487;126;3.887747666;0.000162756;0.002979537;2.525851174;Increased
M6;Otu000245;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;1.445117196;0.527021426;126;2.742046384;0.006995036;0.045162579;1.345221266;Increased
Before;Otu000269;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;3.175625202;0.560078255;126;5.669966962;9.26E-08;8.10E-06;5.091552764;Increased
M12;Otu000269;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;3.721978357;0.591874861;126;6.288454883;4.82E-09;6.63E-07;6.17864658;Increased
M3;Otu000269;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;3.139036956;0.577961535;126;5.431221227;2.77E-07;1.67E-05;4.777895236;Increased
M6;Otu000269;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;3.962909433;0.554458819;126;7.147346737;6.32E-11;1.52E-08;7.818091886;Increased
Before;Otu000276;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified;1.807302641;0.399165013;126;4.527708048;1.36E-05;0.00043006;3.366470494;Increased
M3;Otu000284;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;0.958647936;0.356529464;126;2.68883229;0.008140534;0.049150354;1.308473347;Increased
M6;Otu000284;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;1.107614062;0.355796913;126;3.113051352;0.002291882;0.020414725;1.690056471;Increased
M6;Otu000288;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;1.87093173;0.503440451;126;3.716292021;0.000302701;0.004824564;2.316541946;Increased
Before;Otu000289;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.539307983;0.363679839;126;4.232590912;4.41E-05;0.001102754;2.957521364;Increased
M12;Otu000289;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;2.730790005;0.386455223;126;7.066252036;9.61E-11;2.05E-08;7.687211026;Increased
M3;Otu000289;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;2.550395183;0.354780885;126;7.188648798;5.10E-11;1.40E-08;7.853120675;Increased
M6;Otu000289;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.496762069;0.382114912;126;3.917047;0.000146101;0.002810982;2.551141978;Increased
M6;Otu000292;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;1.354736479;0.37978353;126;3.567128045;0.000511161;0.00707535;2.150252086;Increased
Before;Otu000294;unclassified;unclassified;unclassified;unclassified;unclassified;1.897888034;0.388100403;126;4.890198564;3.01E-06;0.000118147;3.927576047;Increased
M12;Otu000294;unclassified;unclassified;unclassified;unclassified;unclassified;1.313095944;0.455309251;126;2.883964998;0.004619904;0.034777716;1.458698938;Increased
Before;Otu000298;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.888335507;0.345325059;126;5.468284034;2.34E-07;1.50E-05;4.823074273;Increased
M6;Otu000298;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;2.037780129;0.35758112;126;5.69879117;8.10E-08;7.42E-06;5.129618976;Increased
M6;Otu000301;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;unclassified;1.184346401;0.279088615;126;4.243621329;4.23E-05;0.001084548;2.964751105;Increased
M12;Otu000302;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.714309799;0.450855996;126;3.802344459;0.000222235;0.003750701;2.425887501;Increased
M6;Otu000302;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.815766808;0.406531332;126;4.466486754;1.75E-05;0.000525211;3.279666564;Increased
M3;Otu000314;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;1.346331714;0.40027354;126;3.363529136;0.001019772;0.012339877;1.908689181;Increased
