Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
M12;Otu000566;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;2.926431686;0.546463182;125;5.355222062;3.95E-07;2.11E-05;4.675196706;Increased
M3;Otu000566;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;1.903088464;0.480353201;125;3.961852363;0.000124203;0.002306585;2.637030611;Increased
M3;Otu000567;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;unclassified;1.235974211;0.38173547;125;3.2377767;0.001542771;0.015268986;1.816189795;Increased
Before;Otu000574;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Incertae_Sedis;2.163099747;0.696351773;125;3.10633193;0.00234455;0.020654371;1.684988032;Increased
M3;Otu000574;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Incertae_Sedis;2.769006571;0.663354824;125;4.17424653;5.56E-05;0.001215094;2.915389998;Increased
M6;Otu000574;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Incertae_Sedis;2.512290443;0.661455764;125;3.798123139;0.000226391;0.003678853;2.434287591;Increased
Non Colonized;Otu000577;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;1.64642146;0.504720905;125;3.262043325;0.001426137;0.014231778;1.846740834;Increased
Before;Otu000584;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.462727822;0.404945324;125;3.612161287;0.000438262;0.00599232;2.222405026;Increased
M12;Otu000584;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.339343198;0.435985277;125;3.071991805;0.002610091;0.021796076;1.661621695;Increased
M12;Otu000591;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter;1.286945572;0.381376697;125;3.374473543;0.000985445;0.010869623;1.963785533;Increased
M6;Otu000591;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter;1.02348828;0.332268625;125;3.080303711;0.00254338;0.021475201;1.668062761;Increased
Non Colonized;Otu000591;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter;3.344273802;1.058841151;125;3.158428249;0.001989138;0.018470571;1.73351967;Increased
Before;Otu000599;unclassified;unclassified;unclassified;unclassified;unclassified;0.665395779;0.221149725;125;3.008802205;0.003172688;0.025020855;1.601697852;Increased
M12;Otu000600;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;2.786283311;0.550417741;125;5.062124828;1.45E-06;6.32E-05;4.199064931;Increased
M3;Otu000600;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.598261744;0.497320842;125;3.213743739;0.001666994;0.016231256;1.789647869;Increased
